time,seconds_elapsed,z,y,x
1747571324967048400,0.07104833984375,0.0012217304902151227,-0.003054326167330146,-0.0012217304902151227
1747571324982368300,0.0863681640625,0.0006108652451075613,-0.0012217304902151227,-0.0012217304902151227
1747571324998359000,0.102359130859375,-0.0024434609804302454,-0.0006108652451075613,-0.001832595793530345
1747571325014319600,0.118319580078125,0.0012217304902151227,-0.00366519158706069,0.0006108652451075613
1747571325030310400,0.134310302734375,0.0012217304902151227,-0.00427605677396059,0
1747571325046301400,0.150301513671875,-0.0012217304902151227,0.0006108652451075613,-0.004886921960860491
1747571325062261800,0.16626171875,-0.0006108652451075613,-0.006719517521560192,-0.0024434609804302454
1747571325078283300,0.182283203125,0.00427605677396059,0,-0.0012217304902151227
1747571325094213000,0.198213134765625,0.001832595793530345,-0.004886921960860491,-0.0012217304902151227
1747571325110204200,0.2142041015625,0,0.001832595793530345,-0.00733038317412138
1747571325126164500,0.23016455078125,-0.00366519158706069,-0.0006108652451075613,-0.0006108652451075613
1747571325142155500,0.246155517578125,0.001832595793530345,-0.0006108652451075613,-0.0024434609804302454
1747571325158146600,0.262146484375,0,0.003054326167330146,-0.003054326167330146
1747571325174107000,0.27810693359375,0.003054326167330146,-0.0024434609804302454,-0.0024434609804302454
1747571325190067500,0.2940673828125,0.001832595793530345,-0.0012217304902151227,-0.001832595793530345
1747571325206058200,0.310058349609375,0.0006108652451075613,0.0006108652451075613,-0.0012217304902151227
1747571325222018800,0.326018798828125,-0.001832595793530345,-0.001832595793530345,0
1747571325238040000,0.3420400390625,0.001832595793530345,-0.0006108652451075613,-0.0006108652451075613
1747571325253970200,0.35797021484375,0.001832595793530345,0.0006108652451075613,-0.001832595793530345
1747571325269961000,0.3739609375,0.0006108652451075613,-0.0024434609804302454,-0.0024434609804302454
1747571325285921500,0.389921630859375,0.0006108652451075613,-0.001832595793530345,0
1747571325301912300,0.405912353515625,0.0024434609804302454,-0.001832595793530345,-0.0012217304902151227
1747571325317903400,0.4219033203125,-0.0012217304902151227,-0.007941247895359993,-0.001832595793530345
1747571325333863700,0.43786376953125,0.001832595793530345,-0.001832595793530345,-0.003054326167330146
